DrugA,DrugB,tanimoto,feature_jsim,feature_dsim,feature_osim
ACETYLCARNITINE,ACETYLCARNITINE,1,1,1,1
ACETYLCARNITINE,ACETYLCYSTEINE,0.175,0,0,0
ACETYLCARNITINE,ALIMEMAZINE,0.075471698,0,0,0
ACETYLCARNITINE,ALLANTOIN,0.063829787,0,0,0
ACETYLCARNITINE,ALMASILATE,0.03125,0,0,0
ACETYLCARNITINE,ALUMINUM HYDROXIDE,0,0,0,0
ACETYLCARNITINE,AMISULPRIDE,0.084507042,0,0,0
ACETYLCARNITINE,AMPICILLIN,0.092307692,0.071428571,0.133333333,0.196116135
ACETYLCARNITINE,ARMODAFINIL,0.106382979,0,0,0
ACETYLCARNITINE,ARTEMOTIL,0.064516129,0,0,0
ACETYLCARNITINE,ATOGEPANT,0.051020408,0,0,0
ACETYLCARNITINE,ATORVASTATIN,0.097222222,0,0,0
ACETYLCARNITINE,AVOBENZONE,0.125,0,0,0
ACETYLCARNITINE,BENDAMUSTINE,0.109375,0,0,0
ACETYLCARNITINE,BETHANIDINE,0.06122449,0,0,0
ACETYLCARNITINE,BIOTIN,0.071428571,0,0,0
ACETYLCARNITINE,BISPHENOL A DIGLYCIDYL ETHER,0.058823529,0,0,0
ACETYLCARNITINE,BINIMETINIB,0.092105263,0,0,0
ACETYLCARNITINE,BOSENTAN,0.090909091,0,0,0
ACETYLCARNITINE,BREXANOLONE,0.087719298,0,0,0
ACETYLCARNITINE,BRILLIANT BLUE G,0.084210526,0,0,0
ACETYLCARNITINE,BROMAZEPAM,0.03125,0,0,0
ACETYLCARNITINE,BUTABARBITAL,0.088888889,0,0,0
ACETYLCARNITINE,CABAZITAXEL,0.092592593,0,0,0
ACETYLCARNITINE,CALCIUM LACTATE,0.21875,0,0,0
ACETYLCARNITINE,CARBAMAZEPINE,0.088888889,0,0,0
ACETYLCARNITINE,CARBAMIDE PEROXIDE,0.1,0,0,0
ACETYLCARNITINE,CARPROFEN,0.087719298,0,0,0
ACETYLCARNITINE,CEFAZOLIN,0.072289157,0,0,0
ACETYLCARNITINE,CEFMETAZOLE,0.081395349,0,0,0
ACETYLCARNITINE,CEFTAZIDIME,0.087912088,0,0,0
ACETYLCARNITINE,CEFPODOXIME,0.073170732,0,0,0
ACETYLCARNITINE,CHLORMERODRIN,0.173913043,0,0,0
ACETYLCARNITINE,CHLOROXYLENOL,0.05,0,0,0
ACETYLCARNITINE,CHLORPHENESIN CARBAMATE,0.12,0,0,0
ACETYLCARNITINE,CHROMIUM CR-51,0,0,0,0
ACETYLCARNITINE,CHROMIUM PICOLINATE,0.11627907,0,0,0
ACETYLCARNITINE,CIPROFIBRATE,0.094339623,0,0,0
ACETYLCARNITINE,CLASCOTERONE,0.098591549,0,0,0
ACETYLCARNITINE,CLAVULANIC ACID,0.072727273,0,0,0
ACETYLCARNITINE,CLIDINIUM,0.084745763,0,0,0
ACETYLCARNITINE,CISATRACURIUM,0.084507042,0,0,0
ACETYLCARNITINE,COCARBOXYLASE,0.097222222,0,0,0
ACETYLCARNITINE,CYCLOPHOSPHAMIDE,0.039215686,0,0,0
ACETYLCARNITINE,CYPROTERONE ACETATE,0.114285714,0,0,0
ACETYLCARNITINE,DAPSONE,0.076923077,0,0,0
ACETYLCARNITINE,DAPTOMYCIN,0.060606061,0,0,0
ACETYLCARNITINE,DEXBROMPHENIRAMINE,0.070175439,0,0,0
ACETYLCARNITINE,DEXPANTHENOL,0.133333333,0,0,0
ACETYLCARNITINE,DIAZOXIDE,0.056603774,0,0,0
ACETYLCARNITINE,DIETHYLTOLUAMIDE,0.104166667,0,0,0
ACETYLCARNITINE,DIMAZOLE,0.06557377,0,0,0
ACETYLCARNITINE,DIMERCAPROL,0.083333333,0,0,0
ACETYLCARNITINE,DIMETOTIAZINE,0.112903226,0,0,0
ACETYLCARNITINE,DIMENHYDRINATE,0.070422535,0,0,0
ACETYLCARNITINE,DIIODOHYDROXYQUINOLINE,0.04,0,0,0
ACETYLCARNITINE,DL-ALPHA-TOCOPHEROL,0.080645161,0,0,0
ACETYLCARNITINE,DOMIPHEN,0.098039216,0,0,0
ACETYLCARNITINE,DOSULEPIN,0.033333333,0,0,0
ACETYLCARNITINE,DOPAMINE,0.044444444,0.037037037,0.071428571,0.138675049
ACETYLCARNITINE,DROXIDOPA,0.081632653,0,0,0
ACETYLCARNITINE,ENOXACIN,0.073529412,0,0,0
ACETYLCARNITINE,EMPAGLIFLOZIN,0.038961039,0,0,0
ACETYLCARNITINE,EPICRIPTINE,0.08,0,0,0
ACETYLCARNITINE,ERIBULIN,0.06185567,0,0,0
ACETYLCARNITINE,ESTRADIOL BENZOATE,0.069444444,0,0,0
ACETYLCARNITINE,ETHCHLORVYNOL,0.066666667,0,0,0
ACETYLCARNITINE,ETHYNODIOL DIACETATE,0.115942029,0,0,0
ACETYLCARNITINE,FELBAMATE,0.136363636,0,0,0
ACETYLCARNITINE,FELODIPINE,0.1,0,0,0
ACETYLCARNITINE,FESOTERODINE,0.126984127,0,0,0
ACETYLCARNITINE,FIDAXOMICIN,0.064,0,0,0
ACETYLCARNITINE,FLUORIDE ION F-18,0,0,0,0
ACETYLCARNITINE,FLUTAMIDE,0.125,0,0,0
ACETYLCARNITINE,FLUTICASONE,0.077922078,0,0,0
ACETYLCARNITINE,FLOCTAFENINE,0.098591549,0,0,0
ACETYLCARNITINE,FORMALDEHYDE,0.035714286,0,0,0
ACETYLCARNITINE,FOSDENOPTERIN,0.026666667,0,0,0
ACETYLCARNITINE,FOSTAMATINIB,0.06741573,0,0,0
ACETYLCARNITINE,GANAXOLONE,0.086206897,0,0,0
ACETYLCARNITINE,GADOTERIC ACID,0.175,0,0,0
ACETYLCARNITINE,GADOTERIDOL,0.209302326,0,0,0
